Date,Average_Rate,Record_Count
2019-05-31,8.87425925925926,54
2019-06-30,9.303333333333333,54
2019-07-31,9.033888888888889,54
2019-08-31,9.637924528301888,53
2019-09-30,9.051730769230769,52
2019-10-31,9.90090909090909,55
2019-11-30,9.868363636363636,55
2019-12-31,9.497358490566038,53
2020-01-31,9.950754716981132,53
2020-02-29,9.964716981132076,53
2020-03-31,10.700576923076921,52
2020-04-30,23.64156862745098,51
2020-05-31,24.875294117647062,51
2020-06-30,11.903599999999999,50
